Time (s),X (m),Y (m)
0.001,0.0010647643868879006,0.0005914538325516247
0.20000000000000015,-0.0017699632149059733,-0.0022225556787180676
0.4000000000000003,-0.0029311726436962358,-0.006918585964634778
0.6000000000000004,0.010317746582188012,0.00011229931083284116
0.8000000000000006,0.02120182162380652,0.0023253691936438296
1.0000000000000007,0.03078910406018135,-0.005261694505594018
1.2009999999999785,0.03633499431497915,-0.010056102588677904
1.4009999999999565,0.05583094111776372,-0.008679202079708449
1.6009999999999345,0.06895543066189858,-0.012906026728709831
1.8009999999999124,0.08156758700716801,-0.006483984742473839
2.0009999999998906,0.09678068168821087,-0.0014595657711586993
2.2009999999998686,0.10815659652746139,0.0012988188596203625
2.4009999999998466,0.13193163320849893,0.011597620115432094
2.6009999999998246,0.1420725308546689,0.01509512698404436
2.8009999999998025,0.15281124338411103,0.015204231833266722
3.0009999999997805,0.156097439292392,0.016974375085482926
3.2009999999997585,0.16048198709778802,0.01953560579408603
3.4009999999997365,0.17071347601490733,0.029374820149329968
3.6009999999997144,0.18625773115788888,0.03523204531046055
3.8009999999996924,0.19869151670296528,0.04250820244746718
4.000999999999671,0.2193782613657631,0.05042969539591738
4.200999999999738,0.24058753757603868,0.051983636553576
4.400999999999804,0.2592167338982699,0.06162008491277694
4.600999999999871,0.28104920247406207,0.06726076630425347
4.800999999999938,0.2981106142369997,0.07711949376753656
5.000000000000004,0.31384570773125803,0.08719024628740282
5.200000000000071,0.3291564383644805,0.0854851911075473
5.400000000000138,0.3484089009890463,0.0879188076354199
5.600000000000205,0.3639451096642807,0.08381225411383077
5.800000000000272,0.3862757067425334,0.08173014474694391
6.000000000000338,0.40207652736948096,0.07331057398504005
6.200000000000405,0.4160896276439842,0.073567850377662
6.400000000000472,0.439895820069014,0.07345800625323853
6.600000000000539,0.463922449761059,0.07090328166478083
6.800000000000606,0.4850679886789085,0.06711540221706362
7.000000000000672,0.5053103512938417,0.06750644098932367
7.200000000000739,0.5233266606530462,0.07049175506007072
7.400000000000806,0.5383720114608791,0.06892029480478741
7.600000000000873,0.5475952910907969,0.06788446822884371
7.8000000000009395,0.5624168075215354,0.0682209231928053
8.000000000001005,0.5777317813127623,0.06567273057771875
8.200000000000895,0.5971061484258895,0.06509242103843312
8.400000000000784,0.6287141715626,0.06895926057653586
8.600000000000673,0.6557688047300504,0.07406558754786212
8.800000000000562,0.6772874282010953,0.07701070823093158
9.000000000000451,0.6938751151588961,0.081623895535847
9.20000000000034,0.7153169243739658,0.08720283359578791
9.40000000000023,0.7317191322324974,0.09090137675662359
9.600000000000119,0.7481155013039169,0.09757430789070703
9.800000000000008,0.7606869073245882,0.10565866491559647
10.000999999999896,0.7839432403568957,0.10830133997816939
10.200999999999786,0.8129494355538296,0.11092015888981524
10.400999999999675,0.8363576555645229,0.11223967397598356
10.600999999999564,0.8584442718197501,0.11057227479258355
10.800999999999453,0.8876944178532483,0.10894388338047231
11.000999999999342,0.9126261605524457,0.10047201161523159
11.200999999999231,0.9338008051187072,0.09323047224675571
11.40099999999912,0.9563735240567385,0.09286374596847484
11.60099999999901,0.971929958176519,0.09326539980296202
11.800999999998899,0.9956914540567545,0.09283765506618316
12.000999999998788,1.0264317487163466,0.09043662630292579
12.200999999998677,1.0412407863193347,0.08079822442111154
12.400999999998566,1.0513277729648691,0.0699899538900374
12.600999999998455,1.064435676478445,0.06707041358508133
12.800999999998345,1.0865575960829148,0.06932648577072283
13.000999999998234,1.1191215410755575,0.07090820557775655
13.200999999998123,1.1369270279300059,0.06882692899915266
13.400999999998012,1.1567922044831127,0.060111179876161006
13.600999999997901,1.1858560080457492,0.05251936307749279
13.80099999999779,1.2071577060217342,0.04670990602100776
14.00099999999768,1.2316492052030852,0.04140426337482046
14.200999999997569,1.2458043124708467,0.024168459086246083
14.400999999997458,1.268806662703371,0.010591234589360307
14.600999999997347,1.2978812115155272,0.001625676029244352
14.800999999997236,1.3063935264270354,-0.008072726090558726
15.000999999997125,1.320706442540167,-0.01469892199861154
15.200999999997014,1.337288811939699,-0.025475628354576542
15.400999999996904,1.3580819491681606,-0.03359140364511356
15.600999999996793,1.3780229549037217,-0.04020582731342527
15.800999999996682,1.3958532665967123,-0.047878291722629134
16.000999999996573,1.4216176105452598,-0.054968452028354715
16.200999999996817,1.4320981537376802,-0.05764314646127962
16.40099999999706,1.4432577702074947,-0.06063720482052648
16.600999999997306,1.4625060203390108,-0.06515090026270763
16.80099999999755,1.4863034628202423,-0.07454670307087097
17.000999999997795,1.5071864356992928,-0.07795553656039485
17.20099999999804,1.52215340414211,-0.08218454739890502
17.400999999998284,1.5400252098221128,-0.09485266866671117
17.60099999999853,1.567073798980284,-0.10906550687939606
17.800999999998773,1.5831869623523218,-0.12111824328773152
18.000999999999017,1.6054762699913334,-0.12896163391293544
18.20099999999926,1.6207940973800716,-0.13962561000907403
18.400999999999506,1.6531271361473723,-0.14235301451935395
18.60099999999975,1.675079980211855,-0.14615668453700856
18.799999999999994,1.6993145143962274,-0.15423260411957818
19.000000000000238,1.7165998256357542,-0.16319335844648408
19.200000000000482,1.740914917103992,-0.1683409852107883
19.400000000000727,1.7700864246744805,-0.1756318813461991
19.60000000000097,1.7917342203853428,-0.1825682566090775
19.800000000001216,1.8092796381575424,-0.19179382574396495
20.00000000000146,1.8246056669418924,-0.20265258280552634
